Area Code,Area Name,All people aged 16 - 74,People aged 16-74 - Economically active - Employees - Part-time,People aged 16-74 - Economically active - Employees - Full-time,People aged 16-74 - Economically active - Self - employed,People aged 16-74 - Economically active - Unemployed,People aged 16-74 - Economically active - Full-time student,People aged 16-74 - Economically inactive - Retired,People aged 16-74 - Economically inactive - Student,People aged 16-74 - Economically inactive - Looking after home or family,People aged 16-74 - Economically inactive -  Permanently sick or disabled,People aged 16-74 - Economically inactive - Other,Unemployed people aged 16 - 74 - Aged 16 - 24,Unemployed people aged 16 - 74 - Aged 50 and over,Unemployed people aged 16 - 74 - Who have never worked,Unemployed people aged 16 - 74 - Who are long-term unemployed,All males aged 16 - 74,Males aged 16-74 - Economically active - Employees - Part -time,Males aged 16-74 - Economically active - Employees - Full-time,Males aged 16-74 - Economically active - Self-employed,Males aged 16-74 - Economically active - Unemployed,Males aged 16-74 - Economically active - Full-time student,Males aged 16-74 - Economically inactive - Retired,Males aged 16-74 - Economically inactive - Student,Males aged 16-74 - Economically inactive - Looking after home or family,Males aged 16-74 - Economically inactive - Permanently sick or disabled,Males aged 16-74 Economically inactive - Other,Unemployed males aged 16 - 74 - Aged 16-24,Unemployed males aged 16 - 74 - Aged 50 and over,Unemployed males aged 16 - 74 - who have never worked,Unemployed males aged 16 - 74 - Who are long-term unemployed,All females aged 16 - 74,Females aged 16-74 - Economically active - Employees - Part-time,Females aged 16-74 - Economically active - Employees - Full-time,Females aged 16-74 - Economically active - Self-employed,Females aged 16-74 - Economically active - Unemployed,Females aged 16-74 - Economically active - Full-time student,Females aged 16-74 - Economically Inactive - Retired,Females aged 16-74 - Economically Inactive - Student,Females aged 16-74 - Economically Inactive - Looking after home or family,Females aged 16-74 - Economically Inactive - Permanently sick or disabled,Females aged 16-74 - Economically Inactive - Other,Unemployed females aged 16 - 74 - Aged 16-24,Unemployed females aged 16 - 74 - Aged 50 and over,Umemployed females aged 16 - 74 - Who have never worked,Unemployed females aged 16 - 74 - Who are long-term unemployed
00AA,City of London,6067,276,3039,887,216,117,546,364,232,180,210,42,47,20,50,3296,103,1716,624,162,62,241,145,23,103,117,33,32,18,34,2771,173,1323,263,54,55,305,219,209,77,93,9,15,0,16
00AB,Barking and Dagenham,113579,11509,45721,6498,5121,2688,13433,5078,10799,7924,4808,1477,721,644,1614,54099,1575,27964,5513,3174,1202,5394,2393,736,4209,1939,926,502,383,945,59480,9934,17757,985,1947,1486,8039,2685,10063,3715,2869,551,219,261,669
00AC,Barnet,228123,21146,91489,27907,7758,6448,23035,16882,17069,7866,8523,1485,1479,871,2343,109165,3901,51956,20090,4407,3003,9324,8160,901,3959,3464,881,923,452,1261,118958,17245,39533,7817,3351,3445,13711,8722,16168,3907,5059,604,556,419,1082
00AD,Bexley,156172,18157,69103,13196,4530,3650,22180,4875,10909,5659,3913,1194,861,385,1343,75881,2081,42094,10627,2651,1594,9431,2322,557,2951,1573,740,575,205,729,80291,16076,27009,2569,1879,2056,12749,2553,10352,2708,2340,454,286,180,614
00AE,Brent,198712,15628,79402,17967,9901,7248,18997,16440,13601,9372,10156,2047,1540,1485,3041,96783,3835,43337,13416,6031,3610,8237,7976,1006,4874,4461,1300,1049,865,1818,101929,11793,36065,4551,3870,3638,10760,8464,12595,4498,5695,747,491,620,1223
00AF,Bromley,212368,23487,92314,21422,5672,4748,30041,7182,15232,6805,5465,1236,1232,424,1888,103095,3284,54774,16116,3409,2330,12793,3696,770,3628,2295,752,817,238,1109,109273,20203,37540,5306,2263,2418,17248,3486,14462,3177,3170,484,415,186,779
00AG,Camden,155165,9710,60366,17843,7665,4998,10828,16968,9857,8944,7986,1349,1354,879,2472,74902,3191,32163,11061,4669,2138,4537,7801,764,5095,3483,811,854,514,1569,80263,6519,28203,6782,2996,2860,6291,9167,9093,3849,4503,538,500,365,903
00AH,Croydon,238077,24240,106748,20406,9163,6394,26395,10535,16824,9063,8309,2082,1694,954,3109,114171,3777,60968,15471,5411,2852,11282,5181,1083,4700,3446,1217,1153,479,1753,123906,20463,45780,4935,3752,3542,15113,5354,15741,4363,4863,865,541,475,1356
00AJ,Ealing,224780,17146,102855,18308,8844,6628,20474,14704,15365,10414,10042,1840,1458,1170,2520,110762,3608,57644,13292,5322,3287,8812,7704,1125,5436,4532,1182,973,612,1486,114018,13538,45211,5016,3522,3341,11662,7000,14240,4978,5510,658,485,558,1034
00AK,Enfield,197706,19128,79568,17714,8177,5838,22202,12612,14712,9082,8673,1680,1488,1033,2709,95038,3412,45534,13719,5115,2580,9279,5885,1080,4780,3654,1027,1048,581,1687,102668,15716,34034,3995,3062,3258,12923,6727,13632,4302,5019,653,440,452,1022
