Data Source in SDW: null
,MIR.M.AT.B.A2C.I.R.A.2250.EUR.N,MIR.M.BE.B.A2C.I.R.A.2250.EUR.N,MIR.M.CY.B.A2C.I.R.A.2250.EUR.N,MIR.M.DE.B.A2C.I.R.A.2250.EUR.N,MIR.M.EE.B.A2C.I.R.A.2250.EUR.N,MIR.M.ES.B.A2C.I.R.A.2250.EUR.N,MIR.M.FI.B.A2C.I.R.A.2250.EUR.N,MIR.M.FR.B.A2C.I.R.A.2250.EUR.N,MIR.M.GR.B.A2C.I.R.A.2250.EUR.N,MIR.M.IE.B.A2C.I.R.A.2250.EUR.N,MIR.M.IT.B.A2C.I.R.A.2250.EUR.N,MIR.M.LT.B.A2C.I.R.A.2250.EUR.N,MIR.M.LU.B.A2C.I.R.A.2250.EUR.N,MIR.M.LV.B.A2C.I.R.A.2250.EUR.N,MIR.M.MT.B.A2C.I.R.A.2250.EUR.N,MIR.M.NL.B.A2C.I.R.A.2250.EUR.N,MIR.M.PT.B.A2C.I.R.A.2250.EUR.N,MIR.M.SI.B.A2C.I.R.A.2250.EUR.N,MIR.M.SK.B.A2C.I.R.A.2250.EUR.N,MIR.M.U2.B.A2C.I.R.A.2250.EUR.N
,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Belgium, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Cyprus, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Germany, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Estonia, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Spain, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Finland, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Greece, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Ireland, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Italy, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Lithuania, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Luxembourg, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Latvia, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Malta, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Netherlands, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Portugal, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Slovenia, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Slovakia, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro","Euro area (changing composition), Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2020Jan,1.56,1.88,,1.32,4.51,1.73,1.42,1.16,,2.75,1.96,4.02,1.03,7.21,2.44,1.83,0.92,2.48,1.07,1.52
2019Dec,1.46,2.17,,1.37,3.52,1.51,1.32,1.14,,2.80,1.80,4.49,1.07,9.83,2.27,1.83,0.93,3.15,1.08,1.58
2019Nov,1.42,2.05,,1.30,3.82,1.56,1.46,1.17,-,2.80,1.95,4.91,0.96,8.31,2.35,1.95,0.91,2.54,1.13,1.59
2019Oct,1.48,2.00,,1.31,4.41,1.62,1.70,1.16,,2.81,1.85,4.25,0.98,9.58,2.36,1.89,0.91,2.86,1.29,1.59
2019Sep,1.62,1.95,,1.38,3.90,1.64,1.19,1.21,,2.82,1.88,4.91,1.11,9.50,2.33,1.98,0.90,2.70,1.33,1.65
2019Aug,1.52,1.89,1.82,1.38,5.10,1.87,1.62,1.30,,2.84,1.88,4.58,1.06,9.67,2.34,2.06,0.99,2.88,1.34,1.69
2019Jul,1.59,1.93,,1.43,4.93,1.89,1.94,1.27,,2.86,1.87,5.42,1.11,8.14,2.31,2.07,1.15,2.80,1.42,1.72
