,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Some Text
0,67,male,2,own,NA,little,1169,6,radio/TV,Some Text
1,22,female,2,own,little,moderate,5951,48,radio/TV,Some Text
2,49,male,1,own,little,NA,2096,12,education,Some Text
3,45,male,2,free,little,little,7882,42,furniture/equipment,Some Text
4,53,male,2,free,little,little,4870,24,car,Some Text
5,35,male,1,free,NA,NA,9055,36,education,Some Text
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,Some Text
7,35,male,3,rent,little,moderate,6948,36,car,Some Text
8,61,male,1,own,rich,NA,3059,12,radio/TV,Some Text
9,28,male,3,own,little,moderate,5234,30,car,Some Text
10,25,female,2,rent,little,moderate,1295,12,car,Some Text
11,24,female,2,rent,little,little,4308,48,business,Some Text
12,22,female,2,own,little,moderate,1567,12,radio/TV,Some Text
13,60,male,1,own,little,little,1199,24,car,Some Text
14,28,female,2,rent,little,little,1403,15,car,Some Text
15,32,female,1,own,moderate,little,1282,24,radio/TV,Some Text
16,53,male,2,own,NA,NA,2424,24,radio/TV,Some Text
17,25,male,2,own,NA,little,8072,30,business,Some Text
18,44,female,3,free,little,moderate,12579,24,car,Some Text
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,Some Text
20,48,male,2,own,little,NA,2134,9,car,Some Text
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,Some Text
22,48,male,1,rent,little,little,2241,10,car,Some Text
23,44,male,2,own,moderate,moderate,1804,12,car,Some Text
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,Some Text
25,36,male,1,own,little,little,1374,6,furniture/equipment,Some Text
26,39,male,1,own,little,NA,426,6,radio/TV,Some Text
27,42,female,2,rent,rich,rich,409,12,radio/TV,Some Text
28,34,male,2,own,little,moderate,2415,7,radio/TV,Some Text
29,63,male,2,own,little,little,6836,60,business,Some Text
30,36,male,2,own,rich,moderate,1913,18,business,Some Text
31,27,male,2,own,little,little,4020,24,furniture/equipment,Some Text
32,30,male,2,own,moderate,moderate,5866,18,car,Some Text
33,57,male,1,rent,NA,NA,1264,12,business,Some Text
34,33,female,3,own,little,rich,1474,12,furniture/equipment,Some Text
35,25,male,1,own,little,moderate,4746,45,radio/TV,Some Text
36,31,male,2,free,little,NA,6110,48,education,Some Text
37,37,male,2,own,little,rich,2100,18,radio/TV,Some Text
38,37,male,2,own,little,rich,1225,10,domestic appliances,Some Text
39,24,male,2,own,little,moderate,458,9,radio/TV,Some Text
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,Some Text
