,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,he
0,67,male,2,own,NA,little,1169,6,radio/TV,he
1,22,female,2,own,little,moderate,5951,48,radio/TV,he
2,49,male,1,own,little,NA,2096,12,education,he
3,45,male,2,free,little,little,7882,42,furniture/equipment,he
4,53,male,2,free,little,little,4870,24,car,he
5,35,male,1,free,NA,NA,9055,36,education,he
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,he
7,35,male,3,rent,little,moderate,6948,36,car,he
8,61,male,1,own,rich,NA,3059,12,radio/TV,he
9,28,male,3,own,little,moderate,5234,30,car,he
10,25,female,2,rent,little,moderate,1295,12,car,he
11,24,female,2,rent,little,little,4308,48,business,he
12,22,female,2,own,little,moderate,1567,12,radio/TV,he
13,60,male,1,own,little,little,1199,24,car,he
14,28,female,2,rent,little,little,1403,15,car,he
15,32,female,1,own,moderate,little,1282,24,radio/TV,he
16,53,male,2,own,NA,NA,2424,24,radio/TV,he
17,25,male,2,own,NA,little,8072,30,business,he
18,44,female,3,free,little,moderate,12579,24,car,he
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,he
20,48,male,2,own,little,NA,2134,9,car,he
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,he
22,48,male,1,rent,little,little,2241,10,car,he
23,44,male,2,own,moderate,moderate,1804,12,car,he
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,he
25,36,male,1,own,little,little,1374,6,furniture/equipment,he
26,39,male,1,own,little,NA,426,6,radio/TV,he
27,42,female,2,rent,rich,rich,409,12,radio/TV,he
28,34,male,2,own,little,moderate,2415,7,radio/TV,he
29,63,male,2,own,little,little,6836,60,business,he
30,36,male,2,own,rich,moderate,1913,18,business,he
31,27,male,2,own,little,little,4020,24,furniture/equipment,he
32,30,male,2,own,moderate,moderate,5866,18,car,he
33,57,male,1,rent,NA,NA,1264,12,business,he
34,33,female,3,own,little,rich,1474,12,furniture/equipment,he
35,25,male,1,own,little,moderate,4746,45,radio/TV,he
36,31,male,2,free,little,NA,6110,48,education,he
37,37,male,2,own,little,rich,2100,18,radio/TV,he
38,37,male,2,own,little,rich,1225,10,domestic appliances,he
39,24,male,2,own,little,moderate,458,9,radio/TV,he
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,he
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,he
42,44,male,1,own,little,moderate,6204,18,repairs,he
43,24,male,2,rent,moderate,little,6187,30,car,he
44,58,female,1,free,little,little,6143,48,car,he
45,35,female,3,own,little,NA,1393,11,car,he
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,he
47,23,female,0,rent,quite rich,little,1352,6,car,he
48,39,male,1,own,little,NA,7228,11,car,he
49,28,female,2,own,moderate,NA,2073,12,radio/TV,he
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,he
51,30,male,3,own,little,moderate,5965,27,car,he
52,25,male,2,own,little,NA,1262,12,radio/TV,he
53,31,male,2,own,NA,NA,3378,18,car,he
54,57,male,2,free,little,moderate,2225,36,car,he
55,26,male,1,own,NA,NA,783,6,car,he
56,52,male,3,own,NA,moderate,6468,12,radio/TV,he
57,31,female,2,own,little,NA,9566,36,radio/TV,he
58,23,female,3,own,little,rich,1961,18,car,he
59,23,female,1,rent,little,little,6229,36,furniture/equipment,he
60,27,male,2,own,little,moderate,1391,9,business,he
61,50,male,2,own,NA,moderate,1537,15,radio/TV,he
62,61,male,3,free,little,moderate,1953,36,business,he
63,25,male,2,own,little,moderate,14421,48,business,he
64,26,female,2,own,little,NA,3181,24,radio/TV,he
65,48,male,2,own,NA,NA,5190,27,repairs,he
66,29,female,2,own,little,NA,2171,12,radio/TV,he
67,22,male,2,own,rich,moderate,1007,12,car,he
68,37,male,2,free,little,NA,1819,36,education,he
69,25,female,2,own,NA,NA,2394,36,radio/TV,he
70,30,female,2,own,little,NA,8133,36,car,he
71,46,male,1,rent,NA,NA,730,7,radio/TV,he
72,51,male,3,free,little,little,1164,8,vacation/others,he
73,41,female,1,own,little,moderate,5954,42,business,he
74,40,male,3,own,NA,little,1977,36,education,he
75,66,male,3,free,little,little,1526,12,car,he
76,34,male,2,own,little,little,3965,42,radio/TV,he
77,51,male,2,own,little,moderate,4771,11,radio/TV,he
78,39,male,1,own,NA,NA,9436,54,car,he
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,he
80,44,female,2,own,NA,NA,5943,24,radio/TV,he
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,he
82,24,female,1,rent,moderate,NA,1568,18,business,he
83,58,female,1,own,little,little,1755,24,vacation/others,he
84,52,male,1,own,little,little,2315,10,radio/TV,he
85,29,female,3,own,little,NA,1412,12,business,he
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,he
87,47,male,2,free,moderate,moderate,12612,36,education,he
88,30,male,3,own,moderate,little,2249,18,car,he
89,28,male,2,own,little,little,1108,12,repairs,he
90,56,male,2,own,little,NA,618,12,radio/TV,he
91,54,male,2,own,little,little,1409,12,car,he
92,33,female,1,own,NA,NA,797,12,radio/TV,he
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,he
94,54,male,2,own,rich,moderate,1318,12,car,he
95,58,male,2,rent,little,moderate,15945,54,business,he
96,61,female,2,own,NA,NA,2012,12,education,he
97,34,male,2,own,moderate,moderate,2622,18,business,he
98,36,male,2,own,little,moderate,2337,36,radio/TV,he
99,36,male,3,rent,NA,moderate,7057,20,car,he
100,41,male,1,rent,moderate,NA,1469,24,car,he
101,24,male,2,rent,little,moderate,2323,36,radio/TV,he
102,24,female,2,own,little,NA,932,6,radio/TV,he
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,he
104,26,male,2,rent,NA,NA,2445,12,car,he
105,39,male,3,own,little,moderate,11938,24,vacation/others,he
106,39,male,3,own,little,NA,6458,18,car,he
